"gene","outer_folds_selected","selection_fraction","stability_tier"
"HIC2",1,0.2,"single_fold_1of5"
"HLA-DOA",1,0.2,"single_fold_1of5"
"HLA-DPA1",1,0.2,"single_fold_1of5"
"HLA-DQA1",1,0.2,"single_fold_1of5"
"HLA-DQB1",1,0.2,"single_fold_1of5"
"HMBOX1",1,0.2,"single_fold_1of5"
"HNRNPUL1",1,0.2,"single_fold_1of5"
"HOXB4",1,0.2,"single_fold_1of5"
"HOXB9",1,0.2,"single_fold_1of5"
"HSH2D",1,0.2,"single_fold_1of5"
"IFNG-AS1",1,0.2,"single_fold_1of5"
"IGFBP3",1,0.2,"single_fold_1of5"
"IGHV1-2",1,0.2,"single_fold_1of5"
"IGLV1-44",1,0.2,"single_fold_1of5"
"IGLV2-8",1,0.2,"single_fold_1of5"
"IKZF1",1,0.2,"single_fold_1of5"
"IL18",1,0.2,"single_fold_1of5"
"IPCEF1",1,0.2,"single_fold_1of5"
"IRF2",1,0.2,"single_fold_1of5"
"ITPR1",1,0.2,"single_fold_1of5"
"JPT1",1,0.2,"single_fold_1of5"
"KHSRP",1,0.2,"single_fold_1of5"
"KIAA0040",1,0.2,"single_fold_1of5"
"KIFC1",1,0.2,"single_fold_1of5"
"KLHL6",1,0.2,"single_fold_1of5"
"KLRK1",1,0.2,"single_fold_1of5"
"KMO",1,0.2,"single_fold_1of5"
"KPNB1",1,0.2,"single_fold_1of5"
"LARP6",1,0.2,"single_fold_1of5"
"LCP1",1,0.2,"single_fold_1of5"
"LIMD1",1,0.2,"single_fold_1of5"
"LINC00426",1,0.2,"single_fold_1of5"
"LINC00649",1,0.2,"single_fold_1of5"
"LLGL1",1,0.2,"single_fold_1of5"
"LMAN2L",1,0.2,"single_fold_1of5"
"LMNB2",1,0.2,"single_fold_1of5"
"LPXN",1,0.2,"single_fold_1of5"
"LRBA",1,0.2,"single_fold_1of5"
"LRRC8C",1,0.2,"single_fold_1of5"
"MAATS1",1,0.2,"single_fold_1of5"
"MCM3",1,0.2,"single_fold_1of5"
"MDC1",1,0.2,"single_fold_1of5"
"MED24",1,0.2,"single_fold_1of5"
"MEGF8",1,0.2,"single_fold_1of5"
"MEX3B",1,0.2,"single_fold_1of5"
"MIAT",1,0.2,"single_fold_1of5"
"NCEH1",1,0.2,"single_fold_1of5"
"NEK5",1,0.2,"single_fold_1of5"
"NKX2-2",1,0.2,"single_fold_1of5"
"NLRC5",1,0.2,"single_fold_1of5"
"NYNRIN",1,0.2,"single_fold_1of5"
"OCIAD2",1,0.2,"single_fold_1of5"
"OGFRL1",1,0.2,"single_fold_1of5"
"P2RY10",1,0.2,"single_fold_1of5"
"P2RY13",1,0.2,"single_fold_1of5"
"PARP15",1,0.2,"single_fold_1of5"
"PARPBP",1,0.2,"single_fold_1of5"
"PAXIP1-AS2",1,0.2,"single_fold_1of5"
"PCDHA4",1,0.2,"single_fold_1of5"
"PCDHB10",1,0.2,"single_fold_1of5"
"PCDHB11",1,0.2,"single_fold_1of5"
"PCDHB12",1,0.2,"single_fold_1of5"
"PCDHB9",1,0.2,"single_fold_1of5"
"PCED1B-AS1",1,0.2,"single_fold_1of5"
"PCSK1",1,0.2,"single_fold_1of5"
"PDCD1",1,0.2,"single_fold_1of5"
"PEG3",1,0.2,"single_fold_1of5"
"PLA2G2D",1,0.2,"single_fold_1of5"
"PLK2",1,0.2,"single_fold_1of5"
"POU2AF1",1,0.2,"single_fold_1of5"
"POU4F1",1,0.2,"single_fold_1of5"
"PPP2R5D",1,0.2,"single_fold_1of5"
"PPP3CB-AS1",1,0.2,"single_fold_1of5"
"PPP5C",1,0.2,"single_fold_1of5"
"PRKCH",1,0.2,"single_fold_1of5"
"PRR3",1,0.2,"single_fold_1of5"
"PSMB8-AS1",1,0.2,"single_fold_1of5"
"PSMD3",1,0.2,"single_fold_1of5"
"PTOV1",1,0.2,"single_fold_1of5"
"PTPN22",1,0.2,"single_fold_1of5"
"PTPN7",1,0.2,"single_fold_1of5"
"PTPRC",1,0.2,"single_fold_1of5"
"RAC3",1,0.2,"single_fold_1of5"
"RASGEF1A",1,0.2,"single_fold_1of5"
"RASGRP1",1,0.2,"single_fold_1of5"
"RBPMS2",1,0.2,"single_fold_1of5"
"RCOR2",1,0.2,"single_fold_1of5"
"REL",1,0.2,"single_fold_1of5"
"RGS17P1",1,0.2,"single_fold_1of5"
"RIMS2",1,0.2,"single_fold_1of5"
"RPS16",1,0.2,"single_fold_1of5"
"RTEL1-TNFRSF6B",1,0.2,"single_fold_1of5"
"S1PR4",1,0.2,"single_fold_1of5"
"SALL4",1,0.2,"single_fold_1of5"
"SAMD3",1,0.2,"single_fold_1of5"
"SAMD4B",1,0.2,"single_fold_1of5"
"SDHAF1",1,0.2,"single_fold_1of5"
"SH2D1A",1,0.2,"single_fold_1of5"
"SLAMF7",1,0.2,"single_fold_1of5"
"SLC38A11",1,0.2,"single_fold_1of5"
"SLC7A2",1,0.2,"single_fold_1of5"
"SNHG32",1,0.2,"single_fold_1of5"
"SOX12",1,0.2,"single_fold_1of5"
"SP140",1,0.2,"single_fold_1of5"
"STRAP",1,0.2,"single_fold_1of5"
"TAGAP",1,0.2,"single_fold_1of5"
"TBX2",1,0.2,"single_fold_1of5"
"TC2N",1,0.2,"single_fold_1of5"
"TCF7L1",1,0.2,"single_fold_1of5"
"THEMIS",1,0.2,"single_fold_1of5"
"TIFAB",1,0.2,"single_fold_1of5"
"TIGIT",1,0.2,"single_fold_1of5"
"TLR6",1,0.2,"single_fold_1of5"
"TMEM145",1,0.2,"single_fold_1of5"
"TMEM156",1,0.2,"single_fold_1of5"
"TMEM200C",1,0.2,"single_fold_1of5"
"TNFRSF9",1,0.2,"single_fold_1of5"
"TRAF3IP3",1,0.2,"single_fold_1of5"
"TRAT1",1,0.2,"single_fold_1of5"
"TRBC1",1,0.2,"single_fold_1of5"
"TRBC2",1,0.2,"single_fold_1of5"
"TRGC2",1,0.2,"single_fold_1of5"
"TRIM28",1,0.2,"single_fold_1of5"
"TSPAN11",1,0.2,"single_fold_1of5"
"TTC39B",1,0.2,"single_fold_1of5"
"TUBA4A",1,0.2,"single_fold_1of5"
"TWIST2",1,0.2,"single_fold_1of5"
"ULK1",1,0.2,"single_fold_1of5"
"UNG",1,0.2,"single_fold_1of5"
"VNN2",1,0.2,"single_fold_1of5"
"VPS13C",1,0.2,"single_fold_1of5"
"WTIP",1,0.2,"single_fold_1of5"
"ZC3HAV1L",1,0.2,"single_fold_1of5"
"ZFAND3",1,0.2,"single_fold_1of5"
"ZNF221",1,0.2,"single_fold_1of5"
"ZNF260",1,0.2,"single_fold_1of5"
"ZNF267",1,0.2,"single_fold_1of5"
"ZNF492",1,0.2,"single_fold_1of5"
"ZNF726",1,0.2,"single_fold_1of5"
"ZNF730",1,0.2,"single_fold_1of5"
"ZNF831",1,0.2,"single_fold_1of5"
"ZNF93",1,0.2,"single_fold_1of5"
